"model","configuration","context_tokens","ubatch","device","device_model_mib","device_context_mib","device_compute_mib","host_model_mib","host_context_mib","host_compute_mib","status","evidence_file"
"qwen","q4-tail0","50000","16","Vulkan0","17235","1031","17","833","0","2","pass","qwen-q4-tail0-c50000-ub16.stdout.log"
"qwen","q4-tail0","50000","512","Vulkan0","17235","1031","505","833","0","69","pass","qwen-q4-tail0-c50000-ub512.stdout.log"
"qwen","q4-tail0","100000","16","Vulkan0","17235","1909","15","833","0","3","pass","qwen-q4-tail0-c100000-ub16.stdout.log"
"qwen","q4-tail0","100000","512","Vulkan0","17235","1909","505","833","0","118","pass","qwen-q4-tail0-c100000-ub512.stdout.log"
"qwen","q4-tail1024-bf16","50000","16","Vulkan0","17235","1095","17","833","0","2","pass","qwen-q4-tail1024-bf16-c50000-ub16.stdout.log"
"qwen","q4-tail1024-bf16","50000","512","Vulkan0","17235","1095","505","833","0","70","pass","qwen-q4-tail1024-bf16-c50000-ub512.stdout.log"
"qwen","q4-tail1024-bf16","100000","16","Vulkan0","17235","1973","15","833","0","3","pass","qwen-q4-tail1024-bf16-c100000-ub16.stdout.log"
"qwen","q4-tail1024-bf16","100000","512","Vulkan0","17235","1973","505","833","0","119","pass","qwen-q4-tail1024-bf16-c100000-ub512.stdout.log"
"qwen","q4-tail128-f16","50000","16","Vulkan0","17235","1039","17","833","0","2","pass","qwen-q4-tail128-f16-c50000-ub16.stdout.log"
"qwen","q4-tail128-f16","50000","512","Vulkan0","17235","1039","505","833","0","69","pass","qwen-q4-tail128-f16-c50000-ub512.stdout.log"
"qwen","q4-tail128-f16","100000","16","Vulkan0","17235","1917","15","833","0","3","pass","qwen-q4-tail128-f16-c100000-ub16.stdout.log"
"qwen","q4-tail128-f16","100000","512","Vulkan0","17235","1917","505","833","0","118","pass","qwen-q4-tail128-f16-c100000-ub512.stdout.log"
"qwen","q4-tail-auto","50000","16","Vulkan0","17235","1095","17","833","0","2","pass","qwen-q4-tail-auto-c50000-ub16.stdout.log"
"qwen","q4-tail-auto","50000","512","Vulkan0","17235","1095","505","833","0","70","pass","qwen-q4-tail-auto-c50000-ub512.stdout.log"
"qwen","q4-tail-auto","100000","16","Vulkan0","17235","1973","15","833","0","3","pass","qwen-q4-tail-auto-c100000-ub16.stdout.log"
"qwen","q4-tail-auto","100000","512","Vulkan0","17235","1973","505","833","0","119","pass","qwen-q4-tail-auto-c100000-ub512.stdout.log"
